Intertidal_Transect,Subtidal_Transect_Name,Site
1,,Babb's Cove
2,,Babb's Cove
3,,Babb's Cove
4,,Babb's Cove
5,,Babb's Cove
6,Sandpiper Beach,NW Appledore
7,Larus Ledge,NW Appledore
8,Magic 8 Ball,NW Appledore
9,North Head,NW Appledore
10,,NE Appledore
11,,NE Appledore
12,,NE Appledore
13,Devil's Dance Floor,NE Appledore
14,Broadway and 42nd,NE Appledore
15,Norwegian Cove,NE Appledore
16,,NE Appledore
17,Broad Cove,NE Appledore
18,,NE Appledore
19,,SE Appledore
20,,SE Appledore
21,,SE Appledore
22,,SE Appledore
23,,Malaga Cut
24,,Malaga Cut
25,,Malaga Cut
26,South Smith's Cove,SW Appledore
27,North Smith's Cove,SW Appledore
28,South Pepperrell,SW Appledore
29,North Pepperrell,SW Appledore